Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
161.69	4.2705e-007	-123.08	-2.331e-007	-3.5782e-007
162.96	4.5855e-007	-126.3	-2.7149e-007	-3.6954e-007
164.25	4.9346e-007	-130.24	-3.1879e-007	-3.7666e-007
165.54	5.3141e-007	-135.09	-3.7638e-007	-3.7514e-007
166.84	5.7095e-007	-141.09	-4.4428e-007	-3.586e-007
168.16	6.086e-007	-148.47	-5.1876e-007	-3.1826e-007
169.48	6.3788e-007	-157.39	-5.8884e-007	-2.4528e-007
170.81	6.4946e-007	-167.75	-6.3467e-007	-1.3783e-007
172.16	6.3458e-007	-179.05	-6.3449e-007	-1.0495e-008
173.51	5.9116e-007	169.58	-5.8141e-007	1.0694e-007
174.88	5.2656e-007	159.07	-4.9182e-007	1.881e-007
176.25	4.5273e-007	150.03	-3.9219e-007	2.2617e-007
177.64	3.7963e-007	142.64	-3.0173e-007	2.3038e-007
179.04	3.1263e-007	136.81	-2.2792e-007	2.1399e-007
180.45	2.5353e-007	132.35	-1.7081e-007	1.8736e-007
181.87	2.0218e-007	129.13	-1.2759e-007	1.5683e-007
183.3	1.5766e-007	127.07	-9.5048e-008	1.2579e-007
184.74	1.1894e-007	126.33	-7.046e-008	9.5822e-008
186.2	8.5082e-008	127.44	-5.1722e-008	6.7555e-008
187.66	5.5526e-008	132.19	-3.7294e-008	4.1137e-008
189.14	3.0835e-008	147.68	-2.6058e-008	1.6486e-008
190.63	1.8424e-008	-159.08	-1.7209e-008	-6.5779e-009
192.13	3.0038e-008	-109.78	-1.0163e-008	-2.8266e-008
193.64	4.8998e-008	-95.26	-4.4919e-009	-4.8792e-008
195.16	6.8355e-008	-89.9	1.1917e-010	-6.8355e-008
196.7	8.7227e-008	-87.434	3.9053e-009	-8.7139e-008
198.25	1.0555e-007	-86.174	7.0434e-009	-1.0531e-007
199.81	1.2341e-007	-85.507	9.6681e-009	-1.2303e-007
201.38	1.4092e-007	-85.163	1.1883e-008	-1.4042e-007
202.97	1.5822e-007	-85.008	1.3767e-008	-1.5762e-007
204.56	1.7542e-007	-84.969	1.5382e-008	-1.7474e-007
206.17	1.9264e-007	-85.004	1.6778e-008	-1.9191e-007
207.8	2.1001e-007	-85.086	1.7991e-008	-2.0924e-007
209.43	2.2763e-007	-85.199	1.9051e-008	-2.2683e-007
211.08	2.4562e-007	-85.334	1.9981e-008	-2.4481e-007
212.74	2.6411e-007	-85.484	2.0796e-008	-2.6329e-007
214.42	2.8322e-007	-85.644	2.151e-008	-2.824e-007
216.1	3.031e-007	-85.813	2.2129e-008	-3.0229e-007
217.8	3.239e-007	-85.989	2.2656e-008	-3.2311e-007
219.52	3.458e-007	-86.171	2.3089e-008	-3.4503e-007
221.25	3.6899e-007	-86.361	2.3422e-008	-3.6825e-007
222.99	3.937e-007	-86.557	2.3641e-008	-3.9299e-007
224.74	4.2021e-007	-86.763	2.3728e-008	-4.1954e-007
226.51	4.4884e-007	-86.979	2.3652e-008	-4.4821e-007
228.29	4.7996e-007	-87.209	2.3374e-008	-4.7939e-007
230.09	5.1406e-007	-87.454	2.2835e-008	-5.1355e-007
231.9	5.5172e-007	-87.719	2.1955e-008	-5.5128e-007
233.73	5.9367e-007	-88.01	2.062e-008	-5.9331e-007
235.57	6.4086e-007	-88.331	1.8666e-008	-6.4059e-007
